Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
18-24,Nonprofits,Program Associate,53400,250,53400,250,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Non-binary
45-54,Government and Public Administration,Water resources director,165000,0,165000,0,USD,USA,California,Fresno,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Health care,Account Executive,70000,30000,70000,30000,USD,USA,New York,NYC,5-7 years,2 - 4 years,College degree,Woman
25-34,Health care,Scientific Director,115000,10000,115000,10000,USD,USA,Tennessee,Nashville,5-7 years,5-7 years,PhD,Man
25-34,Media & Digital,Production Manager,58500,6500,58500,6500,USD,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman
45-54,Nonprofits,Senior Director,90000,0,90000,0,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman
55-64,Law,Paralegal Specialist,130000,2500,130000,2500,USD,USA,District of Columbia,District of Columbia,31 - 40 years,31 - 40 years,College degree,Woman
35-44,Health care,Assistant Nurse Manager,95000,2000,95000,2000,USD,USA,North Carolina,Durham,11 - 20 years,11 - 20 years,College degree,Man
35-44,Computing or Tech,Web Developer,90000,0,90000,0,USD,USA,Florida,Sarasota,11 - 20 years,11 - 20 years,College degree,Man
35-44,Nonprofits,Director of Communications,67000,1000,67000,1000,USD,USA,Connecticut,New Haven,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,HR Analyst,86000,0,86000,0,USD,USA,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Study Abroad Advisor,46000,720,46000,720,USD,USA,Pennsylvania,Bethlehem,11 - 20 years,11 - 20 years,Master's degree,Man
25-34,Utilities & Telecommunications,Clean Energy Product Development,117700,25000,117700,25000,USD,USA,Virginia,Arlington,5-7 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,Youth Services Librarian,45000,0,45000,0,USD,USA,Georgia,Alpharetta,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Primary/Secondary),High School American History & Literature Teacher,55000,0,55000,0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Clergy,Children’s Ministry Director ,42000,0,42000,0,USD,USA,Florida,Orlando,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Law,Attorney,305000,80000,305000,80000,USD,USA,California,Los Angeles,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
55-64,"Accounting, Banking & Finance",Administrative Assistant,41000,1000,41000,1000,USD,USA,"Illinois, Kentucky",Louisville,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Marketing Project Manager ,48000,0,48000,0,USD,USA,Oregon,Salem,11 - 20 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,GIS Analyst,69000,0,69000,0,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Recruitment or HR,HR Business Partner ,110000,10000,110000,10000,USD,USA,Florida,Tampa,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer
25-34,Engineering or Manufacturing,Systems Engineer,117000,3000,117000,3000,USD,USA,California,Palmdale,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Government and Public Administration,Regulatory Board Administrator 2,33000,0,33000,0,USD,USA,Tennessee,Nashville ,31 - 40 years,8 - 10 years,Some college,Woman
45-54,Education (Higher Education),Professor,110000,9000,110000,9000,USD,USA,Washington,Bellingham,21 - 30 years,21 - 30 years,PhD,Woman
35-44,Business or Consulting,Management Consultant,176000,10000,176000,10000,USD,USA,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Hillel director ,57000,0,57000,0,USD,USA,Pennsylvania,Lancaster ,5-7 years,5-7 years,Master's degree,Woman
35-44,"Leisure, Sport & Tourism",Controller,82000,12300,82000,12300,USD,USA,Missouri,Saint Louis,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Business or Consulting,Lead Management Analyst,100000,1000,100000,1000,USD,USA,District of Columbia,DC,11 - 20 years,11 - 20 years,Master's degree,Man
45-54,Nonprofits,Marketing Specialist,58000,800,58000,800,USD,USA,New Jersey,NY Suburb,11 - 20 years,5-7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Tax Manager,98000,6000,98000,6000,USD,USA,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Sales Strategy Analyst,65000,2500,65000,2500,USD,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Nonprofits,Events Specialist,80000,0,80000,0,USD,USA,New Jersey,Newark,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Government and Public Administration,Assistant Director Special Projects,97000,0,97000,0,USD,USA,Arkansas,Little Rock,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Retail, CAP team,34320,2200,34320,2200,USD,USA,Montana,Declined ,8 - 10 years,5-7 years,High School,Woman
35-44,Nonprofits,Director,135000,0,135000,0,USD,USA,District of Columbia,Washington,5-7 years,5-7 years,PhD,Woman
35-44,Computing or Tech,Email Deliverability Consultant,115000,15000,115000,15000,USD,USA,Washington,Vancouver,11 - 20 years,5-7 years,High School,Other or prefer not to answer
35-44,Education (Higher Education),Operations Director,53000,0,53000,0,USD,USA,Florida,Orlando ,11 - 20 years,5-7 years,Master's degree,Man
25-34,Computing or Tech,Senior Program Manager,174000,60000,174000,60000,USD,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Sr. Software Engineer,204000,396000,204000,396000,USD,USA,California,San Francisco,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Technical Writer,116000,77000,116000,77000,USD,USA,Washington,Redmond,11 - 20 years,11 - 20 years,College degree,Man
35-44,Government and Public Administration,Special Security Officer,66805,0,66805,0,USD,USA,South Dakota,Rapid City,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Law,Managing Attorney - State Government,180000,0,180000,0,USD,USA,California,Sacramento,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man
35-44,"Accounting, Banking & Finance",Controller,41000,2000,41000,2000,USD,USA,Arizona,Phoenix,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Business or Consulting,Data Analyst,90000,2500,90000,2500,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Research Associate,77000,0,77000,0,USD,USA,Pennsylvania,Philadelphia ,8 - 10 years,8 - 10 years,Master's degree,Woman
45-54,Transport or Logistics,Sr. Recruiting is ,103000,17000,103000,17000,USD,USA,North Carolina,Remote,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Education (Higher Education),Research Scientist/Engineer,75000,0,75000,0,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,PhD,Woman
35-44,Government and Public Administration,HR Analyst,56160,0,56160,0,USD,USA,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Education (Primary/Secondary),Teacher,50000,0,50000,0,USD,USA,Vermont,I don’t live in a city; I am VERY rural,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Art teacher,43800,0,43800,0,USD,USA,Ohio,Columbus,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Senior Account Manager,72000,1500,72000,1500,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,IT support assistant,45000,5000,45000,5000,USD,USA,Utah,Salt Lake City,5-7 years,1 year or less,College degree,Woman
25-34,Insurance,Underwriting Manager,111000,0,111000,0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,Lead Systems Engineer,120000,0,120000,0,USD,USA,Illinois,Chicago suburbs,21 - 30 years,21 - 30 years,Master's degree,Man
35-44,Health care,Registered Nurse,70000,0,70000,0,USD,USA,Virginia,Norfolk,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Data Analyst,85000,0,85000,0,USD,USA,California,Palo Alto,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Art & Design,Director of Product Design & Development ,150000,50000,150000,50000,USD,USA,California,San Francisco ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Health care,Project Manager,76000,5000,76000,5000,USD,USA,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Business or Consulting,Global Data Team Leader,82500,12000,82500,12000,USD,USA,Texas,Austin,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Customer service/call center,Customer service supervisor,40000,6000,40000,6000,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Non-binary
25-34,Entertainment,Theatrical Lighting Designer,36000,0,36000,0,USD,USA,New York,New York,5-7 years,5-7 years,College degree,Woman
35-44,Property or Construction,Architect,121129,12000,121129,12000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Nonprofits,Executive Director,130000,0,130000,0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Pharma/biotech,Publications Associate Director ,175000,20000,175000,20000,USD,USA,Massachusetts,Boston,8 - 10 years,5-7 years,PhD,Woman
35-44,"Accounting, Banking & Finance",VP Finance,125000,25000,125000,25000,USD,USA,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Education (Higher Education),Associate professor ,94500,16000,94500,16000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,PhD,Woman
45-54,Government and Public Administration,Environmental Protection Specialist ,105500,0,105500,0,USD,USA,Pennsylvania,Harrisburg ,31 - 40 years,31 - 40 years,PhD,Woman
25-34,Education (Higher Education),Assistant Professor,63000,1200,63000,1200,USD,USA,Massachusetts,Fitchburg,1 year or less,1 year or less,PhD,Woman
35-44,"Marketing, Advertising & PR",Pursuits Manager,116000,0,116000,0,USD,USA,District of Columbia,Washington,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Education (Primary/Secondary),Middle school teacher,45250,0,45250,0,USD,USA,Maine,Maine,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Sales,Regional Manager ,120000,78000,120000,78000,USD,USA,"Arizona, California, Nevada, Texas",Los Angeles ,11 - 20 years,8 - 10 years,High School,Woman
25-34,"Marketing, Advertising & PR",Digital Marketing Manager,70000,8000,70000,8000,USD,USA,Kansas,Leawood,8 - 10 years,5-7 years,College degree,Woman
25-34,Computing or Tech,"Sr Manager, Growth Strategy",140000,14000,140000,14000,USD,USA,New Hampshire,Nashua,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Retail,Store Manager,45500,2000,45500,2000,USD,USA,Kansas,Wichita,11 - 20 years,5-7 years,College degree,Woman
45-54,Health care,Hospice volunteer coordinator,39000,0,39000,0,USD,USA,Pennsylvania,Monongahela,11 - 20 years,5-7 years,College degree,Woman
25-34,Health care,Physical Therapist,80000,10000,80000,10000,USD,USA,Virginia,Blacksburg,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofit scholarly society publisher,Senior Marketing Manager ,111000,0,111000,0,USD,USA,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Property or Construction,Architect,121129,12000,121129,12000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",VP Marketing,168000,15000,168000,15000,USD,USA,Colorado,Boulder,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Landscape Architect,96000,0,96000,0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Employee Benefits Director,80000,8000,80000,8000,USD,USA,Indiana,Indianapolis ,11 - 20 years,8 - 10 years,College degree,Woman
45-54,Education (Higher Education),Sustainability Information Curator/Strategic Communications Coordinator,63319,0,63319,0,USD,USA,Illinois,Champaign,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Operations Manager,105000,20000,105000,20000,USD,USA,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman
55-64,Computing or Tech,Information Support,90351,0,90351,0,USD,USA,Washington,Issaquah,31 - 40 years,21 - 30 years,Some college,Man
35-44,Health care,Certified Registered Nurse Anesthetist ,165000,7500,165000,7500,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Art & Design,Project Director ,80000,1000,80000,1000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Executive Assistant,60000,6000,60000,6000,USD,USA,Pennsylvania,Philadelphia,5-7 years,1 year or less,Master's degree,Non-binary
55-64,"Accounting, Banking & Finance",Credit Manager,32000,0,32000,0,USD,USA,Tennessee,Memphis,31 - 40 years,21 - 30 years,Some college,Woman
35-44,Transport or Logistics,Team lead training compliance,90000,1000,90000,1000,USD,Usa,Texas,Dallas,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Utilities & Telecommunications,Leadership Development Consultant ,105000,4000,105000,4000,USD,USA,North Carolina,Charlotte ,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Retail,Assistant Store Manager,55000,7000,55000,7000,USD,USA,Minnesota,Maplewood ,8 - 10 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,Director,92580,0,92580,0,USD,USA,Louisiana,"Alexandria, LA",11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Assessment Coordinator/Analyst,49275,0,49275,0,USD,USA,Texas,Houston,5-7 years,5-7 years,Master's degree,Non-binary
25-34,Medical Device,"Senior Manager, Medical Affairs",130000,22000,130000,22000,USD,USA,California,San Diego,5-7 years,5-7 years,PhD,Woman
35-44,Computing or Tech,Staff Software Engineer,230000,75000,230000,75000,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man
35-44,Architecture ,Total Rewards Manager,105000,19000,105000,19000,USD,USA,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Animal Caretaker,Sole propieter of my pet care company,72800,700,72800,700,USD,USA,California,Thousand Oaks,11 - 20 years,8 - 10 years,Some college,Woman
25-34,"Accounting, Banking & Finance",Staff Accountant 1,78560,5000,78560,5000,USD,USA,Georgia,Athens,5-7 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Systems Analyst,120000,5000,120000,5000,USD,USA,New York,NYC,8 - 10 years,5-7 years,College degree,Man
25-34,Environmental health and safety compliance,Compliance Coordinator,48000,6000,48000,6000,USD,Usa,"Alaska, Idaho, Oregon, Utah, Washington",Variety,11 - 20 years,2 - 4 years,Some college,Woman
25-34,"Accounting, Banking & Finance",Senior Accountant,110000,10000,110000,10000,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,Master's degree,Man
35-44,Entertainment,Office Administrator,52000,1000,52000,1000,USD,USA,Michigan,Lansing,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),IT End User Services Technician,54000,0,54000,0,USD,USA,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Woman
25-34,Retail,Operations Manager,66000,0,66000,0,USD,USA,Missouri,Kansas City,5-7 years,5-7 years,High School,Woman
35-44,"Accounting, Banking & Finance",SVP & Private Banker,195000,88000,195000,88000,USD,Usa,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
35-44,"Accounting, Banking & Finance",financial advisor,100000,0,100000,0,USD,USA,Oregon,portland,11 - 20 years,11 - 20 years,College degree,Man
45-54,Engineering or Manufacturing,Chemical Technician II ,54000,5000,54000,5000,USD,USA,California,Los Angeles ,11 - 20 years,5-7 years,Some college,Woman
25-34,Business or Consulting,Project Manager,80000,5000,80000,5000,USD,USA,District of Columbia,"Washington, DC",5-7 years,5-7 years,College degree,Woman
35-44,Sales,Sales Operations Business Process Manager ,96000,15000,96000,15000,USD,USA,Washington,Vancouver ,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Business Intelligence Developer,84000,0,84000,0,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Epidemiologist,112000,1000,112000,1000,USD,USA,California,San Mateo,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Nonprofits,Volunteer Manager,36000,0,36000,0,USD,USA,New York,New York,11 - 20 years,1 year or less,Master's degree,Woman
25-34,Libraries,Technical services librarian,57985,360,57985,360,USD,USA,Texas,Duncanville,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Associate Account Director,113000,3000,113000,3000,USD,USA,Massachusetts,Boston ,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),High school Math teacher,53000,3000,53000,3000,USD,USA,Florida,Fort Lauderdale ,5-7 years,5-7 years,Master's degree,Man
45-54,"Marketing, Advertising & PR",Operations Specialist,60000,0,60000,0,USD,USA,Georgia,Suwanee ,31 - 40 years,21 - 30 years,College degree,Woman
35-44,Education (Higher Education),Director of Assessment,61000,0,61000,0,USD,USA,Massachusetts,Williamstown,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Health care,Registered Nurse,95000,0,95000,0,USD,USA,California,Santa Rosa,8 - 10 years,8 - 10 years,Some college,Woman
35-44,Law,HR Manager,132500,12000,132500,12000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",CPA (tax senior associate) ,70000,5000,70000,5000,USD,USA,Missouri,Overland Park ,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Engineering Manager,186000,56023,186000,56023,USD,USA,Washington,Seattle,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Law,Senior staff attorney ,87000,0,87000,0,USD,USA,New York,NYC,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Apple Technology Specialist,29120,0,29120,0,USD,USA,Alabama,Auburn,11 - 20 years,2 - 4 years,Some college,Man
25-34,"Accounting, Banking & Finance",Teller,36000,500,36000,500,USD,USA,Washington,Tacoma,5-7 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Platform Operations Engineer,80881,8088,80881,8088,USD,USA,Massachusetts,Cambridge,5-7 years,2 - 4 years,Master's degree,Woman
18-24,Insurance,eSales Representative,47000,6000,47000,6000,USD,USA,Idaho,CDA,2 - 4 years,1 year or less,College degree,Woman
25-34,Media & Digital,Managing Editor,85000,5000,85000,5000,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman
45-54,Business or Consulting,Senior Director,215000,42000,215000,42000,USD,USA,Washington,Seattle,21 - 30 years,21 - 30 years,Some college,Woman
35-44,Computing or Tech,Senior Software Engineer,123000,5000,123000,5000,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Quality Engineer,81000,5000,81000,5000,USD,USA,California,Los Angeles,2 - 4 years,1 year or less,College degree,Woman
45-54,Health care,RN,82000,0,82000,0,USD,USA,Oregon,Portland ,21 - 30 years,5-7 years,College degree,Woman
35-44,Sales,"Sales Manager, Key Account Executive",90000,25000,90000,25000,USD,USA,Alaska,Anchorage,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Engineering or Manufacturing,Chemist ,109000,10000,109000,10000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Primary/Secondary),teacher/mentor,44800,500,44800,500,USD,USA,New Jersey,Cherry Hill,8 - 10 years,2 - 4 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Personal Assistant ,100000,1000,100000,1000,USD,USA,New York,NYC,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Membership Manager,51400,1000,51400,1000,USD,USA,Montana,Helena,8 - 10 years,5-7 years,College degree,Woman
35-44,Food manufacturing ,Procurement Manager ,65000,8000,65000,8000,USD,USA,New York,Utica,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Utilities & Telecommunications,Renewable Energy Program Manager,96000,0,96000,0,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Associate Systems Administrator,78000,6000,78000,6000,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Operations Associate ,50000,12500,50000,12500,USD,USA,New York,New York,2 - 4 years,1 year or less,Master's degree,Man
35-44,"Accounting, Banking & Finance",Administrative Assistant ,40000,3000,40000,3000,USD,USA,Illinois,Willowbrook ,8 - 10 years,5-7 years,College degree,Woman
45-54,Education (Primary/Secondary),Teacher,90000,0,90000,0,USD,USA,California,Fresno,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,Government and Public Administration,Research Fishery Biologist,75000,0,75000,0,USD,USA,Hawaii,Honolulu,5-7 years,5-7 years,PhD,Woman
25-34,Law,Lead Privacy Counsel,215000,50000,215000,50000,USD,USA,California,San Fransisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Law,Associate attorney ,141000,5000,141000,5000,USD,USA,Ohio,Columbus,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Health care,"Sr. Specialist, Talent Acquisition, vendor managment",60000,0,60000,0,USD,USA,Ohio,Columbus,5-7 years,5-7 years,College degree,Woman
25-34,Health care,Analytics Manager,135000,0,135000,0,USD,USA,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Education Program Manager,80000,200,80000,200,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Senior engineer ,105000,1000,105000,1000,USD,Usa,Connecticut,New London ,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Business or Consulting,Senior manager,200000,20000,200000,20000,USD,USA,New York,New York City ,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Health care,Data Manager,81000,2000,81000,2000,USD,USA,Maryland,Montgomery County,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Transport or Logistics,Supply Chain Project Manager,101000,19000,101000,19000,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Substitute Secretary ,21840,0,21840,0,USD,USA,New Jersey,Lacey Township,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Computing or Tech,Senior Test Engineer,116000,0,116000,0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Health care,Pharmacy Director,148650,47000,148650,47000,USD,USA,Florida,Gainesville,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
35-44,Utilities & Telecommunications,Vice President Human Resources ,159000,30000,159000,30000,USD,Usa,Minnesota,Plymouth,11 - 20 years,11 - 20 years,College degree,Woman
18-24,Sales,Support Coordinator,33280,100,33280,100,USD,USA,Georgia,Atlanta,2 - 4 years,1 year or less,College degree,Non-binary
25-34,Engineering or Manufacturing,Customer Service Representative,31200,0,31200,0,USD,USA,Missouri,St. Louis,2 - 4 years,1 year or less,Some college,Woman
25-34,Computing or Tech,Director of Marketing ,83000,6000,83000,6000,USD,USA,"Massachusetts, Pennsylvania",Pittsburgh ,8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Chief Development Officer,125000,0,125000,0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Operations Manager/Executive Assistant,96500,4000,96500,4000,USD,USA,District of Columbia,"Washington, DC ",11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Compliance Manager,140000,20000,140000,20000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,High School,Woman
45-54,Computing or Tech,Senior Product Manager,150000,0,150000,0,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Health care,Quality Specialist in Clinical Laboratory,84500,0,84500,0,USD,USA,Minnesota,Rochester,21 - 30 years,21 - 30 years,College degree,Woman
55-64,Education (Primary/Secondary),Math teacher,100000,0,100000,0,USD,USA,New York,Rural area,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Pharmaceuticals ,Principal Scientist,161000,16000,161000,16000,USD,USA,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,Tax Auditor,75000,0,75000,0,USD,USA,California,Sacramento,11 - 20 years,8 - 10 years,College degree,Woman
55-64,Engineering or Manufacturing,CAD Technician (senior),68000,0,68000,0,USD,USA,North Carolina,Raleigh,31 - 40 years,31 - 40 years,College degree,Woman
25-34,Government and Public Administration,Management Analyst IV (Data Analyst),78000,0,78000,0,USD,USA,Texas,Houston,5-7 years,5-7 years,Master's degree,Woman
25-34,Government and Public Administration,Project Engineer,107670,10000,107670,10000,USD,USA,Washington,Bremerton,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Primary/Secondary),Teacher,46500,0,46500,0,USD,USA,Georgia,Atlanta,5-7 years,2 - 4 years,College degree,Woman
25-34,Government and Public Administration,Grants Administrator,87962,0,87962,0,USD,USA,Virginia,Arlington,8 - 10 years,2 - 4 years,Master's degree,Woman
18-24,Business or Consulting,Consultant,88000,8500,88000,8500,USD,USA,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Libraries (public),Head of Circulation and Reference,42000,0,42000,0,USD,USA,Illinois,Lake Bluff,8 - 10 years,8 - 10 years,Master's degree,Woman
45-54,Government and Public Administration,Grant Advisor,65000,0,65000,0,USD,USA,Kentucky,Louisville,31 - 40 years,11 - 20 years,Master's degree,Woman
45-54,Property or Construction,Office manager,58240,0,58240,0,USD,USA,New Jersey,East Windsor,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Business or Consulting,Associate Partner ,250000,10000,250000,10000,USD,USA,Maryland,Bethesda ,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Middle school sped teacher ,60000,1000,60000,1000,USD,USA,Wisconsin,Neopit,8 - 10 years,2 - 4 years,Master's degree,Woman
55-64,"Accounting, Banking & Finance",Grants & Project Accountant,91811,0,91811,0,USD,USA,Oregon,Portland,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Consumer goods,Customer development director,208000,90000,208000,90000,USD,USA,New Jersey,Nyc metro,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Primary/Secondary),School Psychologist,66500,0,66500,0,USD,USA,North Carolina,"Raleigh, NC",8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Education (Primary/Secondary),Graduate Student TA,22000,0,22000,0,USD,USA,Illinois,Chicago,2 - 4 years,1 year or less,College degree,Woman
35-44,Education (Primary/Secondary),Elementary school librarian,68000,6000,68000,6000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Health care,Office Manager,41600,1600,41600,1600,USD,USA,Oregon,Ashland,11 - 20 years,8 - 10 years,Some college,Woman
35-44,"Accounting, Banking & Finance",Agile Project Management,86000,8000,86000,8000,USD,USA,Texas,San Antonio,11 - 20 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Assistant Director,68000,1000,68000,1000,USD,USA,Michigan,Ann Arbor,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Nonprofits,Executive Director,134000,0,134000,0,USD,USA,New York,New york,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
